ptest -- memset version 1.0
start	0	end	512
incr	1	ntry	10000
align	0	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	1	testmask	0x00
bytes   	   local	        	    i386	        	    i586	        	    i686	        	 i686fix	        	  lx_zan	        	 lx_simp	        	  lx_hyb	        	lx_hyb_BA	        	  lx_mmx	        	lx_mmx64	        	lx_mmx64simp	        	lx_mmx64_BA	        
      70	   0.000%	 125.186	  -0.331%	 125.601	 -29.733%	 162.409	  -0.130%	 125.349	   1.289%	 123.572	   5.978%	 117.703	  12.118%	 110.016	   3.708%	 120.544	   2.324%	 122.277	 -21.373%	 151.943	  -7.001%	 133.950	   5.081%	 118.826	  -6.367%	 133.157
      71	   0.000%	 125.499	  -0.092%	 125.614	 -30.427%	 163.685	  -2.392%	 128.501	   1.279%	 123.893	   5.456%	 118.652	  11.250%	 111.381	   3.617%	 120.960	   2.493%	 122.370	 -22.077%	 153.205	  -7.310%	 134.673	   4.250%	 120.165	  -6.268%	 133.365
      72	   0.000%	 125.188	  -0.769%	 126.150	 -30.286%	 163.102	  -2.364%	 128.147	   0.452%	 124.622	   8.879%	 114.072	  14.505%	 107.029	   3.184%	 121.201	   1.890%	 122.821	 -22.380%	 153.204	  -7.967%	 135.161	   7.719%	 115.524	  -7.257%	 134.273
      73	   0.000%	 125.588	  -0.611%	 126.355	 -30.503%	 163.897	  -3.262%	 129.685	   0.863%	 124.504	   6.060%	 117.978	  11.595%	 111.027	   3.135%	 121.651	   2.132%	 122.911	 -22.455%	 153.789	  -7.955%	 135.578	   4.786%	 119.578	  -7.084%	 134.485
      74	   0.000%	 126.196	  -0.394%	 126.693	 -29.950%	 163.991	  -0.551%	 126.891	   1.263%	 124.602	   5.543%	 119.201	  11.752%	 111.366	   3.442%	 121.852	   2.399%	 123.168	 -21.983%	 153.937	  -7.704%	 135.918	   4.593%	 120.400	  -7.216%	 135.302
      75	   0.000%	 126.111	  -0.968%	 127.332	 -30.532%	 164.616	  -3.035%	 129.938	   0.876%	 125.007	   4.653%	 120.243	  10.851%	 112.426	   3.395%	 121.830	   2.018%	 123.567	 -22.126%	 154.015	  -7.610%	 135.709	   3.953%	 121.126	  -7.646%	 135.753
      76	   0.000%	 126.571	  -0.774%	 127.550	 -30.653%	 165.369	  -2.209%	 129.367	   1.270%	 124.964	   8.819%	 115.409	  14.201%	 108.597	   3.252%	 122.456	   2.110%	 123.900	 -22.081%	 154.519	  -7.788%	 136.429	   7.515%	 117.060	  -7.437%	 135.984
      77	   0.000%	 126.697	  -0.623%	 127.486	 -30.379%	 165.186	  -3.667%	 131.343	   0.750%	 125.747	   5.670%	 119.514	  11.367%	 112.295	   3.167%	 122.685	   1.871%	 124.327	 -22.075%	 154.666	  -8.036%	 136.879	   4.605%	 120.863	  -7.892%	 136.696
      78	   0.000%	 127.200	  -0.537%	 127.883	 -30.023%	 165.389	  -0.683%	 128.068	   1.095%	 125.807	   5.212%	 120.571	  11.374%	 112.732	   3.477%	 122.777	   2.045%	 124.599	 -21.725%	 154.835	  -7.898%	 137.246	   3.973%	 122.147	  -7.764%	 137.076
      79	   0.000%	 127.529	  -0.593%	 128.286	 -30.993%	 167.054	  -3.257%	 131.683	   1.126%	 126.094	   4.594%	 121.670	  10.571%	 114.048	   3.398%	 123.196	   2.206%	 124.716	 -21.514%	 154.966	  -7.537%	 137.141	   3.641%	 122.886	  -7.297%	 136.835
      80	   0.000%	 127.460	  -0.848%	 128.540	 -30.665%	 166.545	  -2.641%	 130.827	   0.826%	 126.407	   8.157%	 117.063	  14.071%	 109.525	   3.285%	 123.273	   1.720%	 125.267	 -22.017%	 155.523	  -7.648%	 137.208	   7.128%	 118.374	  -8.299%	 138.038
      81	   0.000%	 127.936	  -0.815%	 128.979	 -31.056%	 167.667	  -3.547%	 132.474	   0.800%	 126.913	   5.343%	 121.101	  11.348%	 113.418	   3.461%	 123.508	   1.863%	 125.553	 -21.871%	 155.916	  -7.794%	 137.907	   4.290%	 122.448	  -8.027%	 138.205
      82	   0.000%	 128.284	  -0.740%	 129.234	 -30.381%	 167.258	  -0.884%	 129.418	   0.970%	 127.040	   4.934%	 121.955	  10.614%	 114.667	   3.506%	 123.786	   2.093%	 125.599	 -21.781%	 156.225	  -7.454%	 137.847	   3.955%	 123.210	  -7.548%	 137.967
      83	   0.000%	 128.732	  -0.461%	 129.325	 -30.741%	 168.305	  -2.954%	 132.534	   1.310%	 127.046	   4.557%	 122.865	  10.300%	 115.473	   3.192%	 124.623	   2.391%	 125.654	 -21.504%	 156.414	  -7.386%	 138.240	   3.416%	 124.334	  -7.723%	 138.674
      84	   0.000%	 128.464	  -0.963%	 129.701	 -31.602%	 169.061	  -2.956%	 132.260	   0.981%	 127.203	   7.794%	 118.451	  13.375%	 111.282	   3.186%	 124.371	   1.825%	 126.120	 -22.166%	 156.939	  -7.972%	 138.705	   6.482%	 120.137	  -7.963%	 138.693
      85	   0.000%	 129.306	  -0.708%	 130.221	 -30.989%	 169.376	  -3.767%	 134.177	   0.919%	 128.118	   5.228%	 122.546	  10.897%	 115.215	   3.179%	 125.195	   2.286%	 126.349	 -21.530%	 157.145	  -7.442%	 138.928	   4.073%	 124.039	  -7.330%	 138.784
