memset test:
start	0
end	512
incr	1
ntry	10000
align	3
verbose	0
bytes   	   i386		   i586		   i686		i686fix	
     158	317.625	  2.010	281.749	  1.783	449.196	  2.843	303.429	  1.920
     159	317.712	  1.998	281.687	  1.772	449.458	  2.827	301.745	  1.898
     160	317.768	  1.986	281.888	  1.762	449.465	  2.809	303.023	  1.894
     161	338.110	  2.100	306.860	  1.906	437.695	  2.719	313.211	  1.945
     162	335.544	  2.071	299.358	  1.848	444.743	  2.745	312.649	  1.930
     163	337.108	  2.068	307.334	  1.885	444.663	  2.728	313.928	  1.926
     164	336.074	  2.049	306.800	  1.871	444.767	  2.712	312.381	  1.905
     165	336.800	  2.041	306.422	  1.857	443.950	  2.691	320.893	  1.945
     166	322.362	  1.942	308.610	  1.859	454.183	  2.736	296.140	  1.784
     167	322.532	  1.931	308.849	  1.849	454.846	  2.724	295.784	  1.771
     168	335.774	  1.999	307.343	  1.829	454.616	  2.706	310.832	  1.850
     169	343.589	  2.033	308.586	  1.826	450.357	  2.665	300.283	  1.777
     170	344.240	  2.025	300.212	  1.766	456.859	  2.687	300.331	  1.767
     171	326.992	  1.912	307.415	  1.798	456.777	  2.671	304.481	  1.781
     172	345.778	  2.010	306.852	  1.784	458.585	  2.666	304.555	  1.771
     173	327.074	  1.891	297.670	  1.721	452.395	  2.615	307.286	  1.776
     174	326.992	  1.879	297.694	  1.711	473.664	  2.722	302.052	  1.736
     175	345.681	  1.975	297.823	  1.702	473.147	  2.704	305.401	  1.745
     176	327.334	  1.860	310.409	  1.764	472.660	  2.686	306.024	  1.739
     177	349.633	  1.975	310.611	  1.755	462.800	  2.615	303.633	  1.715
     178	348.987	  1.961	308.726	  1.734	473.903	  2.662	309.655	  1.740
     179	330.806	  1.848	311.271	  1.739	470.232	  2.627	305.395	  1.706
     180	349.167	  1.940	311.404	  1.730	470.173	  2.612	301.385	  1.674
     181	331.856	  1.833	299.224	  1.653	469.444	  2.594	316.803	  1.750
     182	331.593	  1.822	298.792	  1.642	491.307	  2.699	315.637	  1.734
     183	331.747	  1.813	311.023	  1.700	491.256	  2.684	317.041	  1.732
     184	331.195	  1.800	310.611	  1.688	491.220	  2.670	306.760	  1.667
     185	335.341	  1.813	313.396	  1.694	479.788	  2.593	318.635	  1.722
     186	335.673	  1.805	313.648	  1.686	486.205	  2.614	319.225	  1.716
     187	335.595	  1.795	299.939	  1.604	486.434	  2.601	290.603	  1.554
     188	335.183	  1.783	311.856	  1.659	486.359	  2.587	312.856	  1.664
     189	335.416	  1.775	300.866	  1.592	507.841	  2.687	329.562	  1.744
     190	335.576	  1.766	300.146	  1.580	511.868	  2.694	326.514	  1.718
     191	335.808	  1.758	300.476	  1.573	513.895	  2.691	326.704	  1.710
     192	335.314	  1.746	314.039	  1.636	513.308	  2.673	319.020	  1.662
     193	360.905	  1.870	318.958	  1.653	500.169	  2.592	329.937	  1.710
     194	362.413	  1.868	318.751	  1.643	501.670	  2.586	329.901	  1.701
     195	341.222	  1.750	318.808	  1.635	501.559	  2.572	330.762	  1.696
     196	340.835	  1.739	318.962	  1.627	501.763	  2.560	322.718	  1.647
     197	362.919	  1.842	333.760	  1.694	499.667	  2.536	333.395	  1.692
     198	364.536	  1.841	318.014	  1.606	510.569	  2.579	333.783	  1.686
     199	341.263	  1.715	335.121	  1.684	510.787	  2.567	324.183	  1.629
     200	363.386	  1.817	318.245	  1.591	510.118	  2.551	331.717	  1.659
     201	344.625	  1.715	318.734	  1.586	506.219	  2.519	329.201	  1.638
     202	344.432	  1.705	318.898	  1.579	510.543	  2.527	323.506	  1.602
     203	344.654	  1.698	318.968	  1.571	509.691	  2.511	334.218	  1.646
     204	344.496	  1.689	318.967	  1.564	510.373	  2.502	332.848	  1.632
     205	345.165	  1.684	333.095	  1.625	518.449	  2.529	327.162	  1.596
     206	345.817	  1.679	316.215	  1.535	528.154	  2.564	366.664	  1.780
     207	371.945	  1.797	316.148	  1.527	528.940	  2.555	362.153	  1.750
     208	345.505	  1.661	316.062	  1.520	528.927	  2.543	326.862	  1.571
     209	349.215	  1.671	318.883	  1.526	521.377	  2.495	336.497	  1.610
     210	349.030	  1.662	318.584	  1.517	522.812	  2.490	333.625	  1.589
     211	348.932	  1.654	318.770	  1.511	522.716	  2.477	306.050	  1.450
     212	348.808	  1.645	318.861	  1.504	527.053	  2.486	334.725	  1.579
     213	349.417	  1.640	317.830	  1.492	527.105	  2.475	308.327	  1.448
     214	349.056	  1.631	318.072	  1.486	537.432	  2.511	308.021	  1.439
     215	349.035	  1.623	317.796	  1.478	537.633	  2.501	340.677	  1.585
     216	348.707	  1.614	317.822	  1.471	537.905	  2.490	307.927	  1.426
     217	353.256	  1.628	319.222	  1.471	534.955	  2.465	343.577	  1.583
     218	353.194	  1.620	319.076	  1.464	538.871	  2.472	333.048	  1.528
     219	353.340	  1.613	318.900	  1.456	538.648	  2.460	342.941	  1.566
     220	353.233	  1.606	319.099	  1.450	538.594	  2.448	344.674	  1.567
     221	353.375	  1.599	328.903	  1.488	529.259	  2.395	347.176	  1.571
     222	352.915	  1.590	330.043	  1.487	558.033	  2.514	358.072	  1.613
     223	352.579	  1.581	328.135	  1.471	558.310	  2.504	348.771	  1.564
     224	353.096	  1.576	333.898	  1.491	557.064	  2.487	362.362	  1.618
     225	358.588	  1.594	340.705	  1.514	546.450	  2.429	349.587	  1.554
     226	358.367	  1.586	341.417	  1.511	550.661	  2.437	360.304	  1.594
     227	358.490	  1.579	340.878	  1.502	551.554	  2.430	353.609	  1.558
     228	358.498	  1.572	341.220	  1.497	550.386	  2.414	360.946	  1.583
     229	359.846	  1.571	339.287	  1.482	550.178	  2.403	362.234	  1.582
     230	359.144	  1.561	339.163	  1.475	562.010	  2.444	364.476	  1.585
     231	359.615	  1.557	338.955	  1.467	562.152	  2.434	364.985	  1.580
     232	359.468	  1.549	338.867	  1.461	562.011	  2.422	365.458	  1.575
     233	362.769	  1.557	341.004	  1.464	558.267	  2.396	364.932	  1.566
     234	362.776	  1.550	340.914	  1.457	562.679	  2.405	362.442	  1.549
     235	362.607	  1.543	341.301	  1.452	562.758	  2.395	350.243	  1.490
     236	362.017	  1.534	341.301	  1.446	562.766	  2.385	367.021	  1.555
     237	363.676	  1.534	335.641	  1.416	560.447	  2.365	356.920	  1.506
     238	363.692	  1.528	336.324	  1.413	582.040	  2.446	439.270	  1.846
     239	364.166	  1.524	336.287	  1.407	583.568	  2.442	358.015	  1.498
     240	363.351	  1.514	336.242	  1.401	582.370	  2.427	440.076	  1.834
     241	366.507	  1.521	341.208	  1.416	575.266	  2.387	324.557	  1.347
     242	366.574	  1.515	340.971	  1.409	580.793	  2.400	374.950	  1.549
     243	366.486	  1.508	341.174	  1.404	580.796	  2.390	372.292	  1.532
     244	366.795	  1.503	341.117	  1.398	580.946	  2.381	367.781	  1.507
     245	367.213	  1.499	338.915	  1.383	580.203	  2.368	368.610	  1.505
     246	367.248	  1.493	339.062	  1.378	594.224	  2.416	362.299	  1.473
     247	367.229	  1.487	339.120	  1.373	593.420	  2.403	371.006	  1.502
     248	367.164	  1.480	339.046	  1.367	594.295	  2.396	360.404	  1.453
     249	370.376	  1.487	341.206	  1.370	589.389	  2.367	373.449	  1.500
     250	370.014	  1.480	341.233	  1.365	593.185	  2.373	417.731	  1.671
     251	370.086	  1.474	341.053	  1.359	593.810	  2.366	331.159	  1.319
     252	370.409	  1.470	341.260	  1.354	593.087	  2.354	372.738	  1.479
     253	371.070	  1.467	385.594	  1.524	620.848	  2.454	333.274	  1.317
     254	371.267	  1.462	347.311	  1.367	611.235	  2.406	333.293	  1.312
     255	371.858	  1.458	389.055	  1.526	610.044	  2.392	333.794	  1.309
     256	371.710	  1.452	343.970	  1.344	610.868	  2.386	333.135	  1.301
     257	408.168	  1.588	381.592	  1.485	609.400	  2.371	362.268	  1.410
     258	405.032	  1.570	387.557	  1.502	609.268	  2.362	361.107	  1.400
     259	405.671	  1.566	405.844	  1.567	610.184	  2.356	360.907	  1.393
     260	405.575	  1.560	372.080	  1.431	608.768	  2.341	360.790	  1.388
     261	377.789	  1.447	414.125	  1.587	604.364	  2.316	336.506	  1.289
     262	377.395	  1.440	358.423	  1.368	631.103	  2.409	382.919	  1.462
     263	377.505	  1.435	358.393	  1.363	620.334	  2.359	336.203	  1.278
     264	378.022	  1.432	358.516	  1.358	621.909	  2.356	335.265	  1.270
     265	410.659	  1.550	403.854	  1.524	616.181	  2.325	363.897	  1.373
     266	409.006	  1.538	412.811	  1.552	623.339	  2.343	362.899	  1.364
     267	410.108	  1.536	381.450	  1.429	624.022	  2.337	362.858	  1.359
     268	410.293	  1.531	388.193	  1.448	623.526	  2.327	363.261	  1.355
     269	381.186	  1.417	357.914	  1.331	634.425	  2.358	343.866	  1.278
     270	382.056	  1.415	356.885	  1.322	640.369	  2.372	343.388	  1.272
     271	382.038	  1.410	357.187	  1.318	638.529	  2.356	375.261	  1.385
     272	381.813	  1.404	357.335	  1.314	634.669	  2.333	382.974	  1.408
     273	410.369	  1.503	432.776	  1.585	631.961	  2.315	365.525	  1.339
     274	409.711	  1.495	362.907	  1.324	633.617	  2.312	365.642	  1.334
     275	409.664	  1.490	426.625	  1.551	632.778	  2.301	365.400	  1.329
     276	410.335	  1.487	379.921	  1.377	633.287	  2.295	364.967	  1.322
     277	408.949	  1.476	359.003	  1.296	632.765	  2.284	347.625	  1.255
     278	385.062	  1.385	358.894	  1.291	643.255	  2.314	347.722	  1.251
     279	384.860	  1.379	358.838	  1.286	643.343	  2.306	347.737	  1.246
     280	384.807	  1.374	358.689	  1.281	643.675	  2.299	348.033	  1.243
     281	421.184	  1.499	415.423	  1.478	642.048	  2.285	368.101	  1.310
     282	413.705	  1.467	444.808	  1.577	642.267	  2.278	367.765	  1.304
     283	413.154	  1.460	431.293	  1.524	642.684	  2.271	367.459	  1.298
     284	415.514	  1.463	412.514	  1.453	642.283	  2.262	367.285	  1.293
     285	387.583	  1.360	420.143	  1.474	644.379	  2.261	351.723	  1.234
     286	388.652	  1.359	438.119	  1.532	664.665	  2.324	350.711	  1.226
     287	388.632	  1.354	423.716	  1.476	664.830	  2.316	409.608	  1.427
     288	388.693	  1.350	430.408	  1.494	665.224	  2.310	410.775	  1.426
     289	413.768	  1.432	448.268	  1.551	647.880	  2.242	369.517	  1.279
     290	412.940	  1.424	446.110	  1.538	664.323	  2.291	369.464	  1.274
     291	410.744	  1.411	462.668	  1.590	652.214	  2.241	369.274	  1.269
     292	411.421	  1.409	465.758	  1.595	663.860	  2.273	369.404	  1.265
     293	396.970	  1.355	455.257	  1.554	664.225	  2.267	354.353	  1.209
     294	395.155	  1.344	459.712	  1.564	676.086	  2.300	353.598	  1.203
     295	395.324	  1.340	450.484	  1.527	676.146	  2.292	353.967	  1.200
     296	395.131	  1.335	479.255	  1.619	674.137	  2.277	353.378	  1.194
     297	423.891	  1.427	472.780	  1.592	669.804	  2.255	385.714	  1.299
     298	419.739	  1.409	487.953	  1.637	675.286	  2.266	381.767	  1.281
     299	420.680	  1.407	459.453	  1.537	675.811	  2.260	380.950	  1.274
     300	403.368	  1.345	455.948	  1.520	675.567	  2.252	381.656	  1.272
     301	398.462	  1.324	479.433	  1.593	669.820	  2.225	467.189	  1.552
     302	398.678	  1.320	496.874	  1.645	690.587	  2.287	406.823	  1.347
     303	398.692	  1.316	493.447	  1.629	690.320	  2.278	464.238	  1.532
     304	398.860	  1.312	498.924	  1.641	689.855	  2.269	407.303	  1.340
     305	425.845	  1.396	490.770	  1.609	683.792	  2.242	382.969	  1.256
     306	421.445	  1.377	478.460	  1.564	689.610	  2.254	381.829	  1.248
     307	421.135	  1.372	470.217	  1.532	689.615	  2.246	381.962	  1.244
     308	406.111	  1.319	471.614	  1.531	690.510	  2.242	382.006	  1.240
     309	423.792	  1.371	483.694	  1.565	690.563	  2.235	365.565	  1.183
     310	401.085	  1.294	476.439	  1.537	749.896	  2.419	365.377	  1.179
     311	401.654	  1.291	468.804	  1.507	757.908	  2.437	365.076	  1.174
     312	401.900	  1.288	478.803	  1.535	710.138	  2.276	365.232	  1.171
     313	428.033	  1.368	494.094	  1.579	696.802	  2.226	385.113	  1.230
     314	425.580	  1.355	506.914	  1.614	713.028	  2.271	384.197	  1.224
     315	425.014	  1.349	484.543	  1.538	753.096	  2.391	382.249	  1.213
     316	425.754	  1.347	492.822	  1.560	713.031	  2.256	388.737	  1.230
     317	404.851	  1.277	639.243	  2.017	747.549	  2.358	365.446	  1.153
     318	405.085	  1.274	628.081	  1.975	750.445	  2.360	366.228	  1.152
     319	404.420	  1.268	597.930	  1.874	748.300	  2.346	366.363	  1.148
     320	405.043	  1.266	633.833	  1.981	749.321	  2.342	365.499	  1.142
     321	425.240	  1.325	541.063	  1.686	714.240	  2.225	385.235	  1.200
     322	420.632	  1.306	546.219	  1.696	715.309	  2.221	384.087	  1.193
     323	424.442	  1.314	528.439	  1.636	715.351	  2.215	384.148	  1.189
     324	435.200	  1.343	532.645	  1.644	759.925	  2.345	384.537	  1.187
     325	424.189	  1.305	538.629	  1.657	764.911	  2.354	370.177	  1.139
     326	411.939	  1.264	508.180	  1.559	759.390	  2.329	370.609	  1.137
