name,ptest -- strlen,ticks,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare,bytes,local,i486p,lxSimp,lxus,lx_5a_r2,compare (%),bytes,local,i486p,lxSimp,lxus,lx_5a_r2
,,,29, 148.914, 157.954, 125.686, 155.406, 156.06,,29, 1, 0.942768, 1.18481, 0.958225, 0.95421,,29, 0,-0.0607062, 0.155983,-0.0435963,-0.0479871
,,,30, 154.457, 162.799, 127.608, 155.448, 160.438,,30, 1, 0.948758, 1.2104, 0.993621, 0.962717,,30, 0,-0.0540094, 0.173829,-0.00641975,-0.0387264
,,,31, 151.1, 159.97, 129.729, 155.429, 161.774,,31, 1, 0.944553, 1.16474, 0.972148, 0.93402,,31, 0,-0.0587021, 0.141438,-0.0286497,-0.0706405
,,,32, 181.571, 162.971, 161.745, 192.183, 160.351,,32, 1, 1.11413, 1.12258, 0.944782, 1.13233,,32, 0, 0.102441, 0.109191,-0.0584457, 0.116867
,,,33, 185.982, 167.019, 166.368, 194.793, 165.106,,33, 1, 1.11353, 1.11789, 0.954765, 1.12644,,33, 0, 0.101958, 0.105459,-0.0473783, 0.112246
,,,34, 191.675, 172.44, 168.422, 196.777, 170.501,,34, 1, 1.11155, 1.13807, 0.974076, 1.12419,,34, 0, 0.100354, 0.121318,-0.0266136, 0.110469
,,,35, 188.112, 169.403, 170.357, 198.731, 172.321,,35, 1, 1.11044, 1.10422, 0.946568, 1.09164,,35, 0, 0.0994588, 0.0943854,-0.0564486, 0.0839445
,,,36, 189.257, 170.427, 172.406, 201.165, 170.228,,36, 1, 1.11049, 1.09774, 0.940803, 1.11178,,36, 0, 0.0994938, 0.0890366,-0.0629217, 0.100541
,,,37, 194.224, 176.582, 174.583, 204.784, 175.856,,37, 1, 1.09991, 1.1125, 0.948434, 1.10445,,37, 0, 0.0908364, 0.101124,-0.05437, 0.0945699
,,,38, 199.214, 181.607, 176.297, 206.572, 182.924,,38, 1, 1.09695, 1.12999, 0.964378, 1.08905,,38, 0, 0.0883834, 0.115038,-0.0369373, 0.0817694
,,,39, 197.201, 179.822, 178.761, 211.741, 184.481,,39, 1, 1.09665, 1.10316, 0.931333, 1.06895,,39, 0, 0.0881321, 0.0935104,-0.0737303, 0.0645029
,,,40, 198.523, 181.975, 180.376, 217.975, 184.956,,40, 1, 1.09094, 1.10061, 0.910764, 1.07335,,40, 0, 0.0833581, 0.0914101,-0.0979792, 0.0683395
,,,41, 203.055, 191.558, 182.551, 219.288, 187.271,,41, 1, 1.06002, 1.11232, 0.925972, 1.08428,,41, 0, 0.056619, 0.100978,-0.079946, 0.0777305
,,,42, 208.328, 194.438, 184.072, 220.437, 192.752,,42, 1, 1.07144, 1.13177, 0.945066, 1.08081,,42, 0, 0.0666729, 0.116429,-0.0581268, 0.0747657
,,,43, 204.893, 192.426, 186.566, 221.409, 193.466,,43, 1, 1.06479, 1.09823, 0.925405, 1.05906,,43, 0, 0.0608478, 0.0894468,-0.0806079, 0.0557707
,,,44, 208.819, 196.822, 188.192, 222.344, 191.85,,44, 1, 1.06096, 1.10961, 0.939173, 1.08845,,44, 0, 0.0574533, 0.0987816,-0.064767, 0.0812638
,,,45, 213.444, 199.546, 190.371, 223.753, 194.721,,45, 1, 1.06965, 1.1212, 0.953928, 1.09615,,45, 0, 0.0651157, 0.108102,-0.0482973, 0.087719
,,,46, 218.152, 203.226, 192.245, 224.407, 198.556,,46, 1, 1.07345, 1.13476, 0.972125, 1.09869,,46, 0, 0.0684203, 0.118756,-0.0286743, 0.0898262
,,,47, 215.181, 201.21, 194.466, 226.218, 199.892,,47, 1, 1.06944, 1.10652, 0.951207, 1.07648,,47, 0, 0.0649268, 0.0962645,-0.0512961, 0.0710504
,,,48, 216.644, 201.661, 196.43, 227.611, 201.52,,48, 1, 1.0743, 1.10291, 0.951817, 1.07505,,48, 0, 0.0691594, 0.0933066,-0.0506225, 0.0698088
,,,49, 221.01, 205.751, 198.527, 229.106, 205.871,,49, 1, 1.07416, 1.11325, 0.964662, 1.07354,,49, 0, 0.069041, 0.101727,-0.0366322, 0.0684984
,,,50, 226.281, 211.125, 200.112, 231.426, 210.503,,50, 1, 1.07179, 1.13077, 0.977766, 1.07495,,50, 0, 0.0669784, 0.115648,-0.0227399, 0.0697276
,,,51, 223.165, 207.903, 202.328, 236.707, 211.42,,51, 1, 1.07341, 1.10298, 0.942789, 1.05555,,51, 0, 0.068386, 0.0933682,-0.0606826, 0.0526293
,,,52, 224.734, 208.875, 204.259, 242.249, 206.348,,52, 1, 1.07592, 1.10024, 0.927696, 1.0891,,52, 0, 0.0705648, 0.0911048,-0.0779396, 0.0818098
,,,53, 229.322, 213.672, 206.409, 244.295, 211.679,,53, 1, 1.07324, 1.11101, 0.938708, 1.08334,,53, 0, 0.0682435, 0.099916,-0.0652942, 0.0769322
,,,54, 234.049, 219.254, 208.279, 247.311, 216.393,,54, 1, 1.06748, 1.12373, 0.946378, 1.08159,,54, 0, 0.063214, 0.110108,-0.0566601, 0.0754387
,,,55, 232.212, 216.858, 210.501, 248.709, 217.343,,55, 1, 1.0708, 1.10314, 0.933671, 1.06841,,55, 0, 0.0661206, 0.0934971,-0.0710414, 0.0640339
,,,56, 233.466, 223.532, 212.199, 251.325, 223.548,,56, 1, 1.04444, 1.10022, 0.928941, 1.04437,,56, 0, 0.0425526, 0.0910921,-0.0764949, 0.0424851
,,,57, 237.797, 228.409, 214.612, 253.385, 227.91,,57, 1, 1.0411, 1.10803, 0.938479, 1.04338,,57, 0, 0.0394782, 0.0974987,-0.0655539, 0.0415745
,,,58, 243.218, 233.499, 216.079, 255.639, 232.99,,58, 1, 1.04162, 1.1256, 0.95141, 1.0439,,58, 0, 0.0399575, 0.111582,-0.0510718, 0.0420522
,,,59, 240.242, 230.599, 218.202, 257.979, 233.751,,59, 1, 1.04182, 1.10101, 0.931247, 1.02777,,59, 0, 0.0401409, 0.0917409,-0.0738285, 0.0270198
,,,60, 243.755, 234.324, 220.134, 259.883, 231.1,,60, 1, 1.04025, 1.1073, 0.937942, 1.05476,,60, 0, 0.0386897, 0.0969043,-0.0661636, 0.0519166
,,,61, 248.312, 239.201, 222.585, 261.8, 235.181,,61, 1, 1.03809, 1.11558, 0.948479, 1.05583,,61, 0, 0.0366882, 0.103605,-0.05432, 0.0528777
,,,62, 253.143, 243.732, 224.222, 261.85, 240.15,,62, 1, 1.03861, 1.12898, 0.966748, 1.0541,,62, 0, 0.037174, 0.114245,-0.034396, 0.0513275
,,,63, 250.198, 240.566, 226.498, 261.516, 241.222,,63, 1, 1.04004, 1.10463, 0.956721, 1.03721,,63, 0, 0.038498, 0.0947234,-0.0452364, 0.0358732
,,,64, 281.035, 245.891, 258.184, 280.144, 239.929,,64, 1, 1.14293, 1.08851, 1.00318, 1.17133,,64, 0, 0.125054, 0.0813116, 0.00317179, 0.146267
