name,ptest -- memcpy,ticks,bytes,local,libc586,lx64si1,movq,movq_r,compare,bytes,local,libc586,lx64si1,movq,movq_r,compare (%),bytes,local,libc586,lx64si1,movq,movq_r
,,,115, 276.878, 280.162, 238.995, 215.625, 213.684,,115, 1, 0.988278, 1.15851, 1.28407, 1.29573,,115, 0,-0.011861, 0.136822, 0.221227, 0.228236
,,,116, 267.189, 252.014, 229.294, 204.786, 203.161,,116, 1, 1.06021, 1.16527, 1.30472, 1.31516,,116, 0, 0.056795, 0.141826, 0.233551, 0.239636
,,,117, 274.637, 278.625, 237.132, 213.277, 211.475,,117, 1, 0.985686, 1.15816, 1.2877, 1.29867,,117, 0,-0.0145218, 0.13656, 0.223423, 0.229983
,,,118, 276.957, 282.368, 239.04, 215.169, 213.665,,118, 1, 0.980836, 1.15862, 1.28716, 1.29622,,118, 0,-0.0195379, 0.136905, 0.223097, 0.228525
,,,119, 278.723, 283.459, 241.355, 217.49, 215.577,,119, 1, 0.983292, 1.15483, 1.28154, 1.29291,,119, 0,-0.0169921, 0.134068, 0.21969, 0.226553
,,,120, 269.235, 253.935, 231.113, 206.903, 205.522,,120, 1, 1.06025, 1.16495, 1.30126, 1.31,,120, 0, 0.0568264, 0.141594, 0.231516, 0.236644
,,,121, 276.829, 282.603, 238.929, 215.426, 213.788,,121, 1, 0.979568, 1.15862, 1.28503, 1.29488,,121, 0,-0.0208577, 0.136908, 0.221808, 0.227726
,,,122, 279.863, 286.107, 241.25, 217.281, 215.57,,122, 1, 0.978178, 1.16006, 1.28802, 1.29825,,122, 0,-0.0223093, 0.137973, 0.223617, 0.229733
,,,123, 281.512, 286.955, 243.042, 219.46, 217.442,,123, 1, 0.981032, 1.15829, 1.28275, 1.29466,,123, 0,-0.0193347, 0.136656, 0.220423, 0.227594
,,,124, 271.115, 255.861, 233.346, 209.586, 208.131,,124, 1, 1.05962, 1.16186, 1.29358, 1.30262,,124, 0, 0.0562638, 0.139312, 0.226949, 0.232318
,,,125, 278.73, 284.394, 241.286, 217.793, 215.999,,125, 1, 0.980083, 1.15519, 1.27979, 1.29042,,125, 0,-0.0203215, 0.134338, 0.218624, 0.22506
,,,126, 281.681, 287.906, 243.008, 220.217, 218.182,,126, 1, 0.978381, 1.15915, 1.27911, 1.29104,,126, 0,-0.0220966, 0.137296, 0.218207, 0.225431
,,,127, 283.851, 288.673, 244.808, 221.912, 220.156,,127, 1, 0.983295, 1.15949, 1.27912, 1.28932,,127, 0,-0.0169889, 0.137549, 0.218211, 0.224396
,,,128, 267.317, 251.859, 273.69, 210.507, 208.93,,128, 1, 1.06137, 0.976713, 1.26987, 1.27945,,128, 0, 0.0578256,-0.0238424, 0.212519, 0.218417

