name,ptest -- strcmp,ticks,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare (%),bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw
worst_test,local,,17, 432.818, 342.269, 352.443, 337.105, 338.504, 350.914, 311.127, 283.015, 279.015, 340.723,,17, 1, 1.26455, 1.22805, 1.28393, 1.27862, 1.2334, 1.39113, 1.52931, 1.55123, 1.27029,,17, 0, 0.209207, 0.185701, 0.221138, 0.217907, 0.189234, 0.281161, 0.346111, 0.355352, 0.21278
worst_total, 127538,,18, 446.794, 352.341, 362.939, 345.663, 349.301, 360.049, 320.482, 289.793, 286.234, 348.825,,18, 1, 1.26807, 1.23104, 1.29257, 1.27911, 1.24092, 1.39413, 1.54177, 1.56094, 1.28085,,18, 0, 0.211402, 0.187681, 0.226348, 0.218204, 0.194149, 0.282706, 0.351393, 0.359361, 0.21927
total_local, 127538,,19, 462.65, 362.037, 373.97, 354.004, 359.157, 371.537, 329.349, 294.049, 290.117, 356.218,,19, 1, 1.27791, 1.23713, 1.30691, 1.28815, 1.24523, 1.40474, 1.57338, 1.5947, 1.29878,,19, 0, 0.217471, 0.191678, 0.234834, 0.223695, 0.196937, 0.288124, 0.364425, 0.372922, 0.230049
total_local_gg, 93950.9,,20, 475.895, 372.592, 383.832, 362.097, 369.227, 381.152, 337.739, 299.019, 295.352, 364.05,,20, 1, 1.27725, 1.23985, 1.31427, 1.2889, 1.24857, 1.40906, 1.59152, 1.61128, 1.30722,,20, 0, 0.217071, 0.193451, 0.239124, 0.224142, 0.199083, 0.290308, 0.371671, 0.379376, 0.235021
total_generic, 100040,,21, 491.751, 381.843, 394.85, 372.011, 378.633, 391.324, 347.337, 303.42, 300.429, 371.759,,21, 1, 1.28784, 1.24541, 1.32187, 1.29875, 1.25663, 1.41577, 1.62069, 1.63683, 1.32277,,21, 0, 0.223504, 0.197053, 0.243497, 0.230031, 0.204222, 0.293672, 0.38298, 0.389061, 0.244009
total_i386, 84867.4,,22, 504.902, 391.649, 405.653, 380.202, 387.651, 400.935, 356.085, 311.713, 306.039, 379.617,,22, 1, 1.28917, 1.24466, 1.32798, 1.30246, 1.25931, 1.41792, 1.61976, 1.64979, 1.33003,,22, 0, 0.224306, 0.19657, 0.246977, 0.232225, 0.205915, 0.294743, 0.382626, 0.393863, 0.248137
total_i486, 93624.9,,23, 520.401, 401.347, 416.051, 388.617, 398.026, 410.639, 364.153, 315.266, 313.155, 387.651,,23, 1, 1.29664, 1.25081, 1.33911, 1.30745, 1.2673, 1.42907, 1.65067, 1.6618, 1.34245,,23, 0, 0.228773, 0.200518, 0.253235, 0.235155, 0.210918, 0.300246, 0.394187, 0.398243, 0.255092
total_i686, 95043.8,,24, 533.287, 410.974, 425.466, 395.652, 407.937, 420.388, 373.418, 321.157, 317.865, 395.299,,24, 1, 1.29762, 1.25342, 1.34787, 1.30728, 1.26856, 1.42812, 1.66052, 1.67772, 1.34907,,24, 0, 0.229357, 0.202182, 0.258088, 0.235052, 0.211704, 0.299781, 0.397778, 0.403952, 0.25875
total_i686_1i, 85501.6,,25, 548.81, 420.08, 435.654, 403.841, 417.335, 429.517, 381.927, 326.763, 324.306, 402.137,,25, 1, 1.30644, 1.25974, 1.35898, 1.31504, 1.27774, 1.43695, 1.67953, 1.69226, 1.36473,,25, 0, 0.234562, 0.206184, 0.264152, 0.239565, 0.217367, 0.304081, 0.404597, 0.409075, 0.267256
total_i686_1iu, 64500.1,,26, 562.75, 428.31, 448.125, 411.648, 425.554, 439.088, 390.147, 333.718, 331.175, 409.811,,26, 1, 1.31389, 1.25579, 1.36707, 1.3224, 1.28163, 1.44241, 1.6863, 1.69925, 1.3732,,26, 0, 0.238899, 0.203687, 0.268507, 0.243797, 0.219746, 0.306714, 0.406987, 0.411506, 0.271772
total_i686_r2, 64040.6,,27, 576.462, 440.62, 459.202, 420.761, 434.521, 447.782, 398.71, 340.417, 335.993, 419.176,,27, 1, 1.3083, 1.25535, 1.37005, 1.32666, 1.28737, 1.44582, 1.6934, 1.7157, 1.37523,,27, 0, 0.235647, 0.203412, 0.270098, 0.246227, 0.223224, 0.308349, 0.409471, 0.417146, 0.272846
total_1dw, 82308.2,,28, 591.052, 449.556, 466.907, 429.032, 446.465, 457.943, 406.293, 344.959, 341.413, 425.964,,28, 1, 1.31475, 1.26589, 1.37764, 1.32385, 1.29067, 1.45475, 1.7134, 1.73119, 1.38756,,28, 0, 0.239397, 0.21004, 0.274121, 0.244626, 0.225207, 0.312594, 0.416364, 0.422364, 0.279312
ratio_local, 1,,29, 606.491, 458.582, 480.991, 436.22, 454.737, 466.19, 417.594, 349.328, 346.191, 432.991,,29, 1, 1.32254, 1.26092, 1.39033, 1.33372, 1.30095, 1.45235, 1.73617, 1.7519, 1.4007,,29, 0, 0.243877, 0.206929, 0.280747, 0.250216, 0.231333, 0.311459, 0.424018, 0.42919, 0.286072
