name,ptest -- memset,ticks,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare,bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA,compare (%),bytes,local,i386,i586,i686,i686fix,lx_zan,lx_simp,lx_hyb,lx_hyb_BA,lx_mmx,lx_mmx64,lx_mmx64simp,lx_mmx64_BA
total_lx_mmx64_BA, 12402.3,,31, 92.1908, 93.1901, 78.6583, 77.3753, 77.3712, 74.3171, 72.3275, 77.3296, 77.3226, 87.4203, 85.4225, 81.4356, 85.417,,31, 1, 0.989276, 1.17204, 1.19148, 1.19154, 1.2405, 1.27463, 1.19218, 1.19229, 1.05457, 1.07923, 1.13207, 1.0793,,31, 0,-0.0108402, 0.146788, 0.160705, 0.160749, 0.193876, 0.215458, 0.1612, 0.161276, 0.0517452, 0.0734154, 0.116662, 0.0734755
ratio_local, 1,,32, 81.195, 82.2569, 68.564, 66.3815, 66.373, 63.3216, 61.3223, 66.3249, 66.3226, 75.3616, 74.8734, 70.9321, 74.8594,,32, 1, 0.98709, 1.18422, 1.22316, 1.22331, 1.28226, 1.32407, 1.2242, 1.22424, 1.0774, 1.08443, 1.14469, 1.08463,,32, 0,-0.0130788, 0.155564, 0.182443, 0.182548, 0.220129, 0.244752, 0.18314, 0.183169, 0.0718438, 0.0778574, 0.126398, 0.0780291
ratio_i386, 0.99,,33, 90.3633, 91.3309, 76.9923, 75.4572, 75.4505, 72.393, 70.3952, 75.4076, 75.3993, 84.6261, 83.9765, 79.5271, 83.9516,,33, 1, 0.989406, 1.17367, 1.19754, 1.19765, 1.24823, 1.28366, 1.19833, 1.19846, 1.06779, 1.07605, 1.13626, 1.07637,,33, 0,-0.0107073, 0.14797, 0.164957, 0.165032, 0.198867, 0.220976, 0.165506, 0.165599, 0.0634902, 0.0706793, 0.119919, 0.0709543
ratio_i586, 0.626144,,34, 91.4186, 92.3406, 77.997, 76.4486, 76.4551, 73.4004, 71.4061, 76.3932, 76.3982, 85.617, 84.4994, 80.5042, 84.5064,,34, 1, 0.990016, 1.17208, 1.19582, 1.19572, 1.24548, 1.28026, 1.19669, 1.19661, 1.06776, 1.08188, 1.13558, 1.0818,,34, 0,-0.0100847, 0.146815, 0.163752, 0.163681, 0.197096, 0.218912, 0.164359, 0.164304, 0.063462, 0.075687, 0.11939, 0.0756105
ratio_i686, 1.16745,,35, 93.3319, 94.3242, 80.3311, 78.4319, 78.4552, 75.3983, 73.4058, 78.3995, 78.407, 87.6113, 86.9674, 82.4827, 86.9641,,35, 1, 0.98948, 1.16184, 1.18997, 1.18962, 1.23785, 1.27145, 1.19047, 1.19035, 1.0653, 1.07318, 1.13153, 1.07322,,35, 0,-0.0106315, 0.139297, 0.159646, 0.159396, 0.192149, 0.213498, 0.159993, 0.159912, 0.0612939, 0.068192, 0.116244, 0.0682282
ratio_i686fix, 1.1639,,36, 87.2345, 88.2444, 118.933, 71.4959, 72.4548, 69.4015, 67.3965, 72.3964, 72.4005, 84.6378, 80.9377, 76.506, 80.9463,,36, 1, 0.988556, 0.733475, 1.22013, 1.20398, 1.25695, 1.29435, 1.20496, 1.20489, 1.03068, 1.0778, 1.14023, 1.07768,,36, 0,-0.011577,-0.363373, 0.180417, 0.169424, 0.204426, 0.22741, 0.170094, 0.170047, 0.0297669, 0.0721816, 0.122984, 0.0720837
ratio_lx_zan, 1.20567,,37, 91.4161, 92.3223, 123.22, 76.4527, 76.4499, 73.4022, 71.3986, 76.4018, 76.4006, 88.6162, 84.4808, 80.4996, 84.5049,,37, 1, 0.990185, 0.741896, 1.19572, 1.19577, 1.24541, 1.28036, 1.19652, 1.19654, 1.0316, 1.08209, 1.13561, 1.08178,,37, 0,-0.00991223,-0.347898, 0.163685, 0.163715, 0.197054, 0.218972, 0.164242, 0.164255, 0.0306287, 0.0758655, 0.119416, 0.0756014
ratio_lx_simp, 1.23596,,38, 92.3286, 93.338, 124.066, 77.4571, 77.4522, 74.3949, 72.4088, 77.3941, 77.4048, 89.6392, 85.5109, 81.4822, 85.5032,,38, 1, 0.989185, 0.744189, 1.192, 1.19207, 1.24106, 1.2751, 1.19297, 1.1928, 1.03, 1.07973, 1.13311, 1.07983,,38, 0,-0.0109329,-0.343745, 0.161072, 0.161124, 0.194238, 0.215749, 0.161754, 0.161639, 0.0291286, 0.0738421, 0.117477, 0.073925
ratio_lx_hyb, 1.16275,,39, 93.3326, 94.3288, 125.06, 78.4347, 78.4557, 75.3937, 73.3998, 78.3896, 78.4046, 90.4286, 86.9538, 82.4942, 86.9562,,39, 1, 0.989439, 0.746301, 1.18994, 1.18962, 1.23794, 1.27156, 1.19062, 1.1904, 1.03211, 1.07336, 1.13138, 1.07333,,39, 0,-0.0106741,-0.339941, 0.159621, 0.159397, 0.192204, 0.213567, 0.160105, 0.159945, 0.0311147, 0.0683448, 0.116127, 0.068319
ratio_lx_hyb_BA, 1.16275,,40, 88.2938, 89.268, 119.864, 72.4752, 73.4465, 70.3961, 68.4021, 73.4033, 73.4023, 85.6192, 81.94, 78.0146, 81.9444,,40, 1, 0.989086, 0.736617, 1.21826, 1.20215, 1.25424, 1.2908, 1.20286, 1.20287, 1.03124, 1.07754, 1.13176, 1.07748,,40, 0,-0.0110342,-0.357558, 0.179159, 0.168157, 0.202706, 0.225289, 0.168647, 0.168658, 0.0302918, 0.0719619, 0.11642, 0.0719121
ratio_lx_mmx, 0.937473,,41, 93.3294, 94.339, 125.089, 78.4321, 78.4525, 75.4023, 73.4192, 78.4037, 78.3976, 90.4267, 86.9739, 82.508, 86.9714,,41, 1, 0.989298, 0.746103, 1.18994, 1.18963, 1.23775, 1.27118, 1.19037, 1.19046, 1.0321, 1.07307, 1.13115, 1.0731,,41, 0,-0.010818,-0.340298, 0.159621, 0.159402, 0.192083, 0.213332, 0.159924, 0.15999, 0.0311009, 0.068097, 0.115948, 0.0681237
ratio_lx_mmx64, 1.01767,,42, 94.3283, 95.2349, 125.782, 79.4202, 79.4302, 76.3985, 74.3944, 79.3973, 79.4039, 91.4257, 87.9324, 83.5161, 87.9423,,42, 1, 0.990481, 0.749936, 1.18771, 1.18756, 1.23469, 1.26795, 1.18805, 1.18796, 1.03175, 1.07274, 1.12946, 1.07262,,42, 0,-0.0096106,-0.333448, 0.158045, 0.157939, 0.190078, 0.211324, 0.158288, 0.158218, 0.0307712, 0.0678047, 0.114624, 0.0677004
ratio_lx_mmx64simp, 1.06879,,43, 95.2312, 96.2462, 126.855, 79.4983, 80.459, 77.3918, 75.397, 80.3947, 80.3977, 92.6319, 88.9518, 84.4886, 88.9675,,43, 1, 0.989454, 0.75071, 1.1979, 1.1836, 1.23051, 1.26306, 1.18455, 1.1845, 1.02806, 1.07059, 1.12715, 1.0704,,43, 0,-0.0106587,-0.332072, 0.165207, 0.155119, 0.187327, 0.208274, 0.155795, 0.155762, 0.0272947, 0.0659378, 0.112805, 0.0657728
ratio_lx_mmx64_BA, 1.02053,,44, 91.3993, 92.3283, 123.094, 76.4527, 76.4514, 73.4027, 71.4029, 76.4006, 76.4033, 88.6262, 84.4882, 80.478, 84.4934,,44, 1, 0.989938, 0.742514, 1.1955, 1.19552, 1.24518, 1.28005, 1.19632, 1.19627, 1.03129, 1.0818, 1.13571, 1.08173,,44, 0,-0.0101642,-0.346777, 0.163531, 0.163545, 0.196901, 0.218781, 0.164101, 0.164072, 0.030341, 0.0756144, 0.119491, 0.0755572
,,,45, 95.2384, 96.2357, 126.861, 80.4485, 80.4568, 77.3952, 75.3992, 80.4009, 80.3991, 92.6144, 88.9232, 84.4959, 88.9574,,45, 1, 0.989637, 0.750731, 1.18384, 1.18372, 1.23055, 1.26312, 1.18454, 1.18457, 1.02833, 1.07102, 1.12714, 1.07061,,45, 0,-0.0104716,-0.332034, 0.155294, 0.155206, 0.187353, 0.208311, 0.155793, 0.155812, 0.0275524, 0.0663092, 0.112796, 0.0659505
