name,ptest -- memcpy,ticks,bytes,local,libc586,lx64si1,movq,movq_r,compare,bytes,local,libc586,lx64si1,movq,movq_r,compare (%),bytes,local,libc586,lx64si1,movq,movq_r
,,,67, 314.836, 295.086, 243.562, 209.876, 208.431,,67, 1, 1.06693, 1.29264, 1.50011, 1.51051,,67, 0, 0.0627309, 0.226387, 0.33338, 0.337972
,,,68, 316.875, 287.321, 240.331, 206.767, 205.7,,68, 1, 1.10286, 1.31849, 1.53252, 1.54047,,68, 0, 0.0932674, 0.241557, 0.347481, 0.350849
,,,69, 319.728, 292.804, 248.281, 215.316, 213.782,,69, 1, 1.09195, 1.28777, 1.48492, 1.49558,,69, 0, 0.084209, 0.223463, 0.326565, 0.331363
,,,70, 322.012, 297.025, 250.121, 218.067, 216.668,,70, 1, 1.08412, 1.28742, 1.47667, 1.4862,,70, 0, 0.0775954, 0.223255, 0.322799, 0.327142
,,,71, 324.457, 305.563, 252.583, 221.406, 219.931,,71, 1, 1.06183, 1.28456, 1.46544, 1.47527,,71, 0, 0.0582338, 0.221522, 0.317611, 0.322158
,,,72, 327.595, 297.796, 243.463, 209.433, 208.713,,72, 1, 1.10006, 1.34556, 1.5642, 1.5696,,72, 0, 0.0909625, 0.256816, 0.360694, 0.362894
,,,73, 329.806, 303.613, 251.068, 219.298, 217.285,,73, 1, 1.08627, 1.31361, 1.50392, 1.51785,,73, 0, 0.0794201, 0.23874, 0.335071, 0.341173
,,,74, 332.383, 307.243, 253.292, 221.911, 220.81,,74, 1, 1.08183, 1.31225, 1.49782, 1.50529,,74, 0, 0.0756361, 0.237951, 0.332363, 0.335677
,,,75, 334.772, 315.475, 256.374, 224.097, 222.789,,75, 1, 1.06117, 1.3058, 1.49387, 1.50264,,75, 0, 0.0576423, 0.234184, 0.330597, 0.334504
,,,76, 337.002, 307.641, 246.051, 212.426, 210.926,,76, 1, 1.09544, 1.36964, 1.58645, 1.59773,,76, 0, 0.0871246, 0.269884, 0.36966, 0.374111
,,,77, 339.821, 312.982, 255.083, 222.507, 221.603,,77, 1, 1.08575, 1.3322, 1.52724, 1.53347,,77, 0, 0.0789815, 0.249362, 0.345223, 0.347883
,,,78, 342.194, 317.215, 256.939, 224.223, 223.269,,78, 1, 1.07875, 1.33181, 1.52613, 1.53265,,78, 0, 0.072998, 0.249144, 0.34475, 0.347536
,,,79, 344.511, 325.608, 259.096, 226.717, 225.889,,79, 1, 1.05805, 1.32967, 1.51956, 1.52514,,79, 0, 0.054868, 0.247931, 0.341917, 0.34432
,,,80, 346.684, 317.819, 250.554, 216.549, 215.3,,80, 1, 1.09082, 1.38367, 1.60095, 1.61024,,80, 0, 0.0832611, 0.277285, 0.37537, 0.378974
,,,81, 349.9, 323.525, 257.9, 225.43, 224.125,,81, 1, 1.08152, 1.35673, 1.55214, 1.56118,,81, 0, 0.0753789, 0.262933, 0.355729, 0.359458
,,,82, 352.424, 327.51, 260.426, 227.554, 226.63,,82, 1, 1.07607, 1.35326, 1.54875, 1.55507,,82, 0, 0.0706937, 0.261044, 0.354318, 0.356941
,,,83, 355.047, 335.755, 262.402, 230.109, 228.856,,83, 1, 1.05746, 1.35306, 1.54295, 1.5514,,83, 0, 0.054338, 0.260937, 0.351892, 0.355421
,,,84, 357.705, 328.2, 253.334, 221.327, 219.671,,84, 1, 1.0899, 1.41199, 1.61619, 1.62837,,84, 0, 0.082485, 0.29178, 0.381259, 0.385888
,,,85, 359.726, 333.406, 261.486, 229.47, 228.339,,85, 1, 1.07894, 1.3757, 1.56763, 1.5754,,85, 0, 0.0731666, 0.273096, 0.362096, 0.365242
,,,86, 362.497, 337.42, 263.003, 231.646, 230.265,,86, 1, 1.07432, 1.3783, 1.56488, 1.57426,,86, 0, 0.0691769, 0.274469, 0.360971, 0.364782
,,,87, 364.835, 345.599, 265.447, 234.085, 232.401,,87, 1, 1.05566, 1.37442, 1.55855, 1.56985,,87, 0, 0.0527227, 0.272418, 0.358379, 0.362997
,,,88, 367.306, 337.879, 256.698, 225.085, 223.754,,88, 1, 1.08709, 1.43089, 1.63185, 1.64156,,88, 0, 0.0801143, 0.301132, 0.3872, 0.390824
,,,89, 369.935, 343.878, 265.199, 233.224, 232.213,,89, 1, 1.07577, 1.39493, 1.58618, 1.59308,,89, 0, 0.070436, 0.283119, 0.369555, 0.372286
,,,90, 372.238, 347.679, 267.505, 235.406, 234.101,,90, 1, 1.07064, 1.39152, 1.58126, 1.59007,,90, 0, 0.0659761, 0.28136, 0.367592, 0.371098
,,,91, 374.652, 356.428, 269.237, 237.822, 236.405,,91, 1, 1.05113, 1.39153, 1.57535, 1.58479,,91, 0, 0.0486421, 0.281367, 0.36522, 0.369002
,,,92, 377.179, 348.171, 260.573, 228.02, 226.958,,92, 1, 1.08331, 1.4475, 1.65415, 1.66189,,92, 0, 0.0769068, 0.309152, 0.395458, 0.398276
,,,93, 380.042, 354.168, 268.623, 235.948, 234.779,,93, 1, 1.07306, 1.41478, 1.6107, 1.61872,,93, 0, 0.0680819, 0.293177, 0.379154, 0.382229
,,,94, 382.237, 358.276, 270.459, 239.311, 236.959,,94, 1, 1.06688, 1.41329, 1.59724, 1.61309,,94, 0, 0.0626858, 0.292431, 0.373921, 0.380072
,,,95, 385.027, 366.362, 272.299, 240.948, 240.178,,95, 1, 1.05095, 1.41399, 1.59796, 1.60309,,95, 0, 0.0484779, 0.292779, 0.374204, 0.376205
,,,96, 387.511, 358.34, 263.435, 230.449, 229.687,,96, 1, 1.08141, 1.47099, 1.68155, 1.68713,,96, 0, 0.0752776, 0.320187, 0.40531, 0.407276
,,,97, 389.716, 364.123, 272.404, 239.696, 237.554,,97, 1, 1.07029, 1.43066, 1.62588, 1.64054,,97, 0, 0.0656727, 0.30102, 0.384948, 0.390443
,,,98, 392.411, 368.215, 275.951, 241.64, 241.014,,98, 1, 1.06571, 1.42203, 1.62395, 1.62817,,98, 0, 0.0616593, 0.29678, 0.384217, 0.385812
,,,99, 394.965, 376.391, 279.487, 244.061, 243.217,,99, 1, 1.04935, 1.41318, 1.61831, 1.62392,,99, 0, 0.0470274, 0.292374, 0.38207, 0.384207
,,,100, 397.578, 368.001, 272.241, 234.597, 233.596,,100, 1, 1.08037, 1.46039, 1.69473, 1.70199,,100, 0, 0.0743936, 0.31525, 0.409936, 0.412452
,,,101, 399.667, 374.449, 281.985, 243.179, 242.144,,101, 1, 1.06734, 1.41733, 1.64351, 1.65053,,101, 0, 0.0630955, 0.294449, 0.391545, 0.394135
,,,102, 402.574, 378.242, 285.814, 245.506, 244.472,,102, 1, 1.06433, 1.40852, 1.63977, 1.64671,,102, 0, 0.0604401, 0.290034, 0.390159, 0.392727
,,,103, 405.016, 386.617, 288.897, 248.035, 246.598,,103, 1, 1.04759, 1.40194, 1.6329, 1.64242,,103, 0, 0.0454296, 0.286704, 0.387592, 0.391141
,,,104, 407.551, 378.98, 282.047, 239.754, 238.345,,104, 1, 1.07539, 1.44497, 1.69987, 1.70992,,104, 0, 0.0701036, 0.307946, 0.411721, 0.415178
,,,105, 410.157, 384.092, 291.696, 247.52, 246.359,,105, 1, 1.06786, 1.40611, 1.65707, 1.66488,,105, 0, 0.0635503, 0.288819, 0.396525, 0.399356
,,,106, 412.342, 388.652, 295.013, 249.758, 248.921,,106, 1, 1.06096, 1.39771, 1.65097, 1.65652,,106, 0, 0.0574539, 0.284544, 0.394294, 0.396324
,,,107, 414.998, 396.907, 299.301, 251.805, 250.924,,107, 1, 1.04558, 1.38656, 1.64809, 1.65388,,107, 0, 0.0435927, 0.278791, 0.393238, 0.395362
,,,108, 416.831, 389.026, 292.495, 243.56, 242.62,,108, 1, 1.07147, 1.42509, 1.71141, 1.71804,,108, 0, 0.0667052, 0.298289, 0.415686, 0.41794
,,,109, 419.321, 394.328, 302.082, 251.579, 250.347,,109, 1, 1.06338, 1.3881, 1.66676, 1.67496,,109, 0, 0.0596032, 0.279591, 0.400032, 0.402971
,,,110, 422.35, 398.695, 305.72, 253.756, 252.689,,110, 1, 1.05933, 1.38149, 1.66439, 1.67142,,110, 0, 0.0560082, 0.276145, 0.399181, 0.401707
,,,111, 425.241, 406.456, 309.216, 255.915, 254.958,,111, 1, 1.04622, 1.37522, 1.66165, 1.66789,,111, 0, 0.0441762, 0.272846, 0.398188, 0.400439
,,,112, 427.295, 399.09, 302.696, 247.236, 246.158,,112, 1, 1.07067, 1.41163, 1.72829, 1.73586,,112, 0, 0.0660079, 0.291599, 0.421393, 0.423916
,,,113, 430.175, 404.32, 312.324, 255.604, 254.251,,113, 1, 1.06395, 1.37733, 1.68297, 1.69193,,113, 0, 0.0601026, 0.27396, 0.405814, 0.408958
,,,114, 432.727, 408.339, 315.559, 257.58, 256.948,,114, 1, 1.05972, 1.3713, 1.67997, 1.6841,,114, 0, 0.0563587, 0.270768, 0.404751, 0.406213
,,,115, 435.152, 417.172, 319.593, 260.569, 258.663,,115, 1, 1.0431, 1.36158, 1.67001, 1.68231,,115, 0, 0.0413196, 0.26556, 0.4012, 0.40558
,,,116, 437.379, 409.021, 312.941, 251.192, 250.432,,116, 1, 1.06933, 1.39764, 1.74121, 1.7465,,116, 0, 0.0648373, 0.284509, 0.425688, 0.427425
,,,117, 440.026, 414.161, 322.675, 259.28, 258.052,,117, 1, 1.06245, 1.36368, 1.69711, 1.70518,,117, 0, 0.0587809, 0.266691, 0.410761, 0.413553
,,,118, 442.3, 418.809, 325.996, 262.254, 260.235,,118, 1, 1.05609, 1.35676, 1.68654, 1.69962,,118, 0, 0.0531116, 0.262952, 0.407069, 0.411633
,,,119, 444.932, 427.433, 329.234, 264.314, 262.438,,119, 1, 1.04094, 1.35141, 1.68334, 1.69538,,119, 0, 0.0393291, 0.260034, 0.405944, 0.410161
,,,120, 447.953, 418.555, 322.551, 254.361, 253.731,,120, 1, 1.07024, 1.38878, 1.76109, 1.76547,,120, 0, 0.065628, 0.279944, 0.43217, 0.433577
,,,121, 450.145, 424.936, 331.879, 263.651, 262.587,,121, 1, 1.05932, 1.35635, 1.70735, 1.71427,,121, 0, 0.0560004, 0.262728, 0.414296, 0.416661
,,,122, 452.495, 429.258, 336.261, 265.603, 264.773,,122, 1, 1.05413, 1.34567, 1.70365, 1.70899,,122, 0, 0.0513533, 0.256874, 0.413025, 0.41486
,,,123, 455.025, 437.192, 339.891, 267.896, 267.168,,123, 1, 1.04079, 1.33874, 1.69851, 1.70314,,123, 0, 0.0391912, 0.253029, 0.41125, 0.412849
,,,124, 457.532, 429.783, 332.413, 259.149, 257.658,,124, 1, 1.06457, 1.3764, 1.76552, 1.77574,,124, 0, 0.0606501, 0.273465, 0.433594, 0.436854
,,,125, 460.522, 434.973, 342.165, 266.88, 266.464,,125, 1, 1.05874, 1.34591, 1.72558, 1.72827,,125, 0, 0.0554796, 0.257006, 0.420484, 0.421387
,,,126, 462.576, 439.325, 346.018, 269.239, 268.507,,126, 1, 1.05292, 1.33686, 1.71809, 1.72277,,126, 0, 0.0502639, 0.251976, 0.417958, 0.41954
,,,127, 465.342, 447.35, 349.415, 271.075, 269.954,,127, 1, 1.04022, 1.33177, 1.71666, 1.72378,,127, 0, 0.0386638, 0.249122, 0.417472, 0.419881
,,,128, 467.872, 439.546, 330.156, 267.432, 267.193,,128, 1, 1.06444, 1.41712, 1.7495, 1.75106,,128, 0, 0.060541, 0.294346, 0.428408, 0.428918

