ptest -- strlen version 1.0
start	1	end	128
incr	1	ntry	1000000
align	31	verbose	0
raw	1	diff	0
compare	1	baseline	0
seed	0	rand	1
rand_align	1	testmask	0x00
bytes   	   local	        	    i486	        	   i486p	        	  lxSimp	        	    lxus	        
     109	   0.000%	 354.125	   1.166%	 349.996	  -4.078%	 368.565	  13.676%	 305.693	  -4.263%	 369.223
     110	   0.000%	 356.428	   1.011%	 352.825	  -4.039%	 370.825	  13.600%	 307.955	  -4.133%	 371.158
     111	   0.000%	 359.214	   1.084%	 355.322	  -4.010%	 373.620	  13.591%	 310.392	  -3.881%	 373.155
     112	   0.000%	 361.600	   1.136%	 357.491	  -4.034%	 376.185	  13.599%	 312.427	  -3.744%	 375.136
     113	   0.000%	 363.450	   0.945%	 360.014	  -4.088%	 378.306	  13.414%	 314.697	  -3.618%	 376.599
     114	   0.000%	 365.555	   1.069%	 361.649	  -4.174%	 380.815	  13.336%	 316.806	  -3.605%	 378.735
     115	   0.000%	 368.048	   1.119%	 363.929	  -4.164%	 383.375	  13.295%	 319.115	  -3.591%	 381.263
     116	   0.000%	 370.368	   1.138%	 366.152	  -3.981%	 385.111	  13.239%	 321.333	  -3.476%	 383.240
     117	   0.000%	 372.126	   0.936%	 368.642	  -3.974%	 386.915	  13.062%	 323.520	  -3.482%	 385.082
     118	   0.000%	 374.383	   1.016%	 370.579	  -3.899%	 388.981	  12.922%	 326.005	  -3.386%	 387.060
     119	   0.000%	 376.840	   1.064%	 372.831	  -3.711%	 390.825	  12.906%	 328.205	  -3.223%	 388.986
     120	   0.000%	 379.365	   1.037%	 375.433	  -3.828%	 393.886	  13.057%	 329.830	  -3.095%	 391.107
     121	   0.000%	 381.807	   1.026%	 377.888	  -4.036%	 397.218	  13.021%	 332.093	  -2.834%	 392.628
     122	   0.000%	 384.454	   1.229%	 379.729	  -4.175%	 400.504	  12.932%	 334.736	  -2.755%	 395.044
     123	   0.000%	 386.254	   0.987%	 382.443	  -4.516%	 403.696	  12.825%	 336.717	  -2.829%	 397.183
     124	   0.000%	 388.855	   0.885%	 385.414	  -4.413%	 406.015	  12.831%	 338.961	  -2.676%	 399.262
     125	   0.000%	 391.583	   1.018%	 387.595	  -4.317%	 408.489	  12.825%	 341.362	  -2.399%	 400.979
     126	   0.000%	 394.167	   0.940%	 390.461	  -4.192%	 410.689	  12.790%	 343.751	  -1.727%	 400.973
     127	   0.000%	 397.112	   1.029%	 393.025	  -4.105%	 413.412	  12.982%	 345.558	  -0.975%	 400.985
     128	   0.000%	 399.237	   0.975%	 395.346	  -4.243%	 416.177	  12.884%	 347.799	  -4.907%	 418.826
