name,ptest -- memset,ticks,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare,bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2,compare (%),bytes,local,lx_zan,lx_hyb,lx_mmx64_BA,lx_mmx64_h2
,,,75, 104.362, 86.4794, 89.4828, 105.17, 91.4789,,75, 1, 1.20678, 1.16628, 0.992317, 1.14083,,75, 0, 0.171351, 0.142572,-0.00774282, 0.123446
,,,76, 100.413, 82.4745, 85.4739, 100.924, 87.4785,,76, 1, 1.21751, 1.17478, 0.994944, 1.14786,,76, 0, 0.178649, 0.148779,-0.00508208, 0.128815
,,,77, 104.359, 86.4768, 89.4797, 105.174, 91.4754,,77, 1, 1.20679, 1.16629, 0.992248, 1.14084,,77, 0, 0.171352, 0.142578,-0.00781282, 0.123454
,,,78, 105.352, 87.4733, 90.4756, 105.797, 92.4836,,78, 1, 1.20439, 1.16443, 0.995796, 1.13914,,78, 0, 0.169706, 0.141208,-0.00422174, 0.122148
,,,79, 106.46, 88.4904, 91.4773, 106.846, 93.4763,,79, 1, 1.20307, 1.16378, 0.996385, 1.1389,,79, 0, 0.16879, 0.140734,-0.0036286, 0.121957
,,,80, 101.413, 83.4749, 86.4832, 102.241, 88.4899,,80, 1, 1.21489, 1.17263, 0.991901, 1.14604,,80, 0, 0.176881, 0.147218,-0.00816473, 0.12743
,,,81, 105.353, 87.4761, 90.4811, 105.799, 92.4772,,81, 1, 1.20436, 1.16436, 0.995777, 1.13923,,81, 0, 0.169683, 0.14116,-0.00424055, 0.122213
,,,82, 106.426, 88.4874, 91.4802, 106.853, 93.4789,,82, 1, 1.20272, 1.16338, 0.996004, 1.1385,,82, 0, 0.168553, 0.140433,-0.0040125, 0.121653
,,,83, 107.503, 89.4806, 92.4755, 107.902, 94.4773,,83, 1, 1.20142, 1.16251, 0.996303, 1.13788,,83, 0, 0.167649, 0.139789,-0.00371097, 0.121169
,,,84, 102.406, 84.4752, 87.4734, 103.239, 89.4995,,84, 1, 1.21226, 1.17071, 0.99193, 1.1442,,84, 0, 0.175093, 0.145815,-0.00813544, 0.12603
,,,85, 106.427, 88.4894, 91.4734, 106.866, 93.4759,,85, 1, 1.2027, 1.16347, 0.995892, 1.13855,,85, 0, 0.168541, 0.140503,-0.00412453, 0.121687
,,,86, 107.504, 89.4831, 92.4758, 107.916, 94.4789,,86, 1, 1.20139, 1.16251, 0.996184, 1.13787,,86, 0, 0.167632, 0.139794,-0.00383085, 0.121161
,,,87, 108.404, 90.4824, 93.4776, 108.919, 95.4754,,87, 1, 1.19807, 1.15968, 0.995274, 1.13541,,87, 0, 0.165322, 0.137693,-0.00474855, 0.119264
,,,88, 103.371, 85.4798, 88.4796, 104.228, 90.4805,,88, 1, 1.2093, 1.1683, 0.991773, 1.14247,,88, 0, 0.173078, 0.144058,-0.00829509, 0.124701
,,,89, 107.499, 89.4807, 92.4747, 107.905, 94.471,,89, 1, 1.20136, 1.16247, 0.996239, 1.1379,,89, 0, 0.167611, 0.13976,-0.0037747, 0.12119
,,,90, 108.403, 90.4739, 93.4764, 108.902, 95.4816,,90, 1, 1.19817, 1.15968, 0.995413, 1.13533,,90, 0, 0.165393, 0.137695,-0.00460774, 0.119198
,,,91, 109.403, 91.4825, 94.4752, 110.225, 96.4958,,91, 1, 1.19589, 1.15801, 0.992543, 1.13376,,91, 0, 0.163801, 0.136446,-0.00751344, 0.117977
,,,92, 104.364, 86.4767, 89.4775, 105.177, 91.4743,,92, 1, 1.20685, 1.16637, 0.992275, 1.14091,,92, 0, 0.171394, 0.142642,-0.00778546, 0.123509
,,,93, 108.403, 90.4737, 93.4739, 108.93, 95.4762,,93, 1, 1.19817, 1.15971, 0.995165, 1.13539,,93, 0, 0.165395, 0.137719,-0.00485872, 0.119247
,,,94, 109.407, 91.4734, 94.481, 110.248, 96.4914,,94, 1, 1.19605, 1.15798, 0.992376, 1.13385,,94, 0, 0.163916, 0.136427,-0.00768251, 0.118051
,,,95, 110.407, 92.471, 95.475, 111.247, 97.5019,,95, 1, 1.19396, 1.1564, 0.992444, 1.13236,,95, 0, 0.162453, 0.135244,-0.00761353, 0.116886
,,,96, 99.5054, 81.4892, 84.4767, 99.9118, 86.482,,96, 1, 1.22109, 1.1779, 0.995932, 1.15059,,96, 0, 0.181057, 0.151034,-0.00408497, 0.130881
,,,97, 108.48, 90.5609, 93.549, 108.974, 95.5586,,97, 1, 1.19787, 1.15961, 0.995467, 1.13522,,97, 0, 0.165184, 0.137638,-0.00455315, 0.119113
,,,98, 109.486, 91.5514, 94.5514, 110.297, 96.5749,,98, 1, 1.1959, 1.15796, 0.992649, 1.13369,,98, 0, 0.163809, 0.136409,-0.00740573, 0.117927
,,,99, 111.524, 93.5513, 96.5539, 112.281, 98.5594,,99, 1, 1.19211, 1.15504, 0.993252, 1.13154,,99, 0, 0.161152, 0.134229,-0.00679425, 0.116246
,,,100, 105.424, 87.5534, 90.5521, 105.891, 92.5569,,100, 1, 1.20411, 1.16423, 0.99559, 1.13901,,100, 0, 0.169508, 0.141065,-0.00443, 0.122048
,,,101, 109.485, 91.5451, 94.548, 110.291, 96.5676,,101, 1, 1.19597, 1.15799, 0.99269, 1.13377,,101, 0, 0.163859, 0.136431,-0.00736372, 0.117985
,,,102, 110.478, 92.5544, 95.5532, 111.314, 97.5697,,102, 1, 1.19366, 1.1562, 0.992496, 1.1323,,102, 0, 0.162241, 0.135097,-0.00756124, 0.116844
,,,103, 111.523, 93.551, 96.5557, 112.279, 98.5658,,103, 1, 1.19211, 1.15501, 0.99327, 1.13146,,103, 0, 0.16115, 0.134208,-0.00677561, 0.116183
,,,104, 106.552, 88.5623, 91.5568, 106.924, 93.5537,,104, 1, 1.20313, 1.16378, 0.996519, 1.13894,,104, 0, 0.168837, 0.140733,-0.00349277, 0.121991
,,,105, 111.522, 93.5497, 96.5483, 112.285, 98.5568,,105, 1, 1.19211, 1.15509, 0.9932, 1.13155,,105, 0, 0.161154, 0.134266,-0.00684654, 0.116256
,,,106, 112.524, 94.554, 97.5545, 113.257, 99.5537,,106, 1, 1.19004, 1.15344, 0.993522, 1.13028,,106, 0, 0.159696, 0.13303,-0.00652028, 0.115263
,,,107, 113.435, 95.5517, 98.5518, 113.854, 100.556,,107, 1, 1.18715, 1.15101, 0.99632, 1.12807,,107, 0, 0.157648, 0.131201,-0.0036937, 0.113532
,,,108, 109.483, 91.561, 94.5463, 110.29, 96.5732,,108, 1, 1.19574, 1.15798, 0.992683, 1.13368,,108, 0, 0.163695, 0.136427,-0.00737121, 0.117914
,,,109, 113.438, 95.5524, 98.5498, 113.855, 100.553,,109, 1, 1.18718, 1.15107, 0.996333, 1.12814,,109, 0, 0.157667, 0.131244,-0.00368024, 0.113586
,,,110, 114.54, 96.5597, 99.5581, 114.92, 101.558,,110, 1, 1.18621, 1.15048, 0.996692, 1.12783,,110, 0, 0.156976, 0.130799,-0.0033185, 0.11334
,,,111, 115.591, 97.56, 100.553, 115.993, 102.55,,111, 1, 1.18482, 1.14955, 0.99653, 1.12716,,111, 0, 0.155987, 0.130095,-0.0034817, 0.112816
,,,112, 110.476, 92.5563, 95.5574, 111.324, 97.5655,,112, 1, 1.19361, 1.15612, 0.992386, 1.13233,,112, 0, 0.162204, 0.135039,-0.00767221, 0.116863
,,,113, 114.566, 96.5576, 99.5545, 114.928, 101.557,,113, 1, 1.1865, 1.15078, 0.99685, 1.12809,,113, 0, 0.157184, 0.131026,-0.00315971, 0.113548
,,,114, 115.58, 97.5653, 100.555, 115.982, 102.553,,114, 1, 1.18464, 1.14941, 0.996533, 1.12702,,114, 0, 0.155861, 0.129991,-0.00347915, 0.112708
,,,115, 116.494, 98.5567, 101.559, 116.992, 103.559,,115, 1, 1.182, 1.14706, 0.995741, 1.1249,,115, 0, 0.153975, 0.128203,-0.00427717, 0.111031
,,,116, 111.534, 93.5455, 96.554, 112.291, 98.56,,116, 1, 1.19229, 1.15514, 0.993255, 1.13163,,116, 0, 0.161279, 0.134305,-0.00679085, 0.11632
,,,117, 115.584, 97.5551, 100.56, 115.986, 102.553,,117, 1, 1.18481, 1.14941, 0.996536, 1.12706,,117, 0, 0.155981, 0.129988,-0.00347597, 0.112739
,,,118, 116.495, 98.555, 101.553, 116.982, 103.559,,118, 1, 1.18203, 1.14713, 0.995834, 1.12491,,118, 0, 0.153995, 0.128262,-0.00418368, 0.111042
,,,119, 117.496, 99.5558, 102.559, 118.306, 104.568,,119, 1, 1.18021, 1.14564, 0.993155, 1.12363,,119, 0, 0.152691, 0.127127,-0.00689173, 0.110031
,,,120, 112.543, 94.5555, 97.5569, 113.255, 99.5532,,120, 1, 1.19023, 1.15361, 0.993712, 1.13048,,120, 0, 0.159827, 0.133158,-0.00632749, 0.11542
,,,121, 116.499, 98.5538, 101.553, 116.991, 103.564,,121, 1, 1.18208, 1.14717, 0.995793, 1.1249,,121, 0, 0.154036, 0.128289,-0.00422479, 0.111033
,,,122, 117.497, 99.5528, 102.554, 118.306, 104.568,,122, 1, 1.18024, 1.1457, 0.993159, 1.12364,,122, 0, 0.152718, 0.127173,-0.00688814, 0.110032
,,,123, 118.494, 100.549, 103.55, 119.317, 105.574,,123, 1, 1.17847, 1.14432, 0.993107, 1.12238,,123, 0, 0.151441, 0.12612,-0.00694127, 0.109039
,,,124, 113.447, 95.5521, 98.5554, 113.872, 100.556,,124, 1, 1.18728, 1.1511, 0.996269, 1.1282,,124, 0, 0.157736, 0.131263,-0.00374512, 0.113631
,,,125, 117.502, 99.5574, 102.554, 118.303, 104.566,,125, 1, 1.18024, 1.14576, 0.993229, 1.12371,,125, 0, 0.152716, 0.127217,-0.00681734, 0.110088
,,,126, 118.499, 100.55, 103.547, 119.313, 105.564,,126, 1, 1.17851, 1.1444, 0.993173, 1.12252,,126, 0, 0.151468, 0.126177,-0.00687364, 0.109151
,,,127, 119.498, 101.55, 104.551, 120.292, 106.557,,127, 1, 1.17674, 1.14297, 0.993405, 1.12145,,127, 0, 0.150198, 0.125085,-0.00663879, 0.108295
,,,128, 108.49, 90.5536, 93.5559, 120.304, 95.5573,,128, 1, 1.19807, 1.15963, 0.901799, 1.13534,,128, 0, 0.165328, 0.137654,-0.108894, 0.119206

