name,ptest -- strcmp,ticks,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare (%),bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw
,,,97, 1261.48, 937.239, 1037.34, 824.242, 936.478, 961.333, 867.235, 628.2, 628.337, 778.328,,97, 1, 1.34595, 1.21607, 1.53047, 1.34705, 1.31222, 1.4546, 2.00808, 2.00764, 1.62075,,97, 0, 0.257031, 0.177681, 0.346606, 0.257635, 0.237931, 0.312525, 0.502013, 0.501904, 0.383003
,,,98, 1258.21, 957.601, 1038.86, 808.797, 959.833, 975.82, 871.423, 630.991, 629.398, 772.371,,98, 1, 1.31392, 1.21114, 1.55566, 1.31086, 1.28939, 1.44386, 1.99402, 1.99907, 1.62902,,98, 0, 0.238919, 0.174333, 0.357185, 0.237145, 0.224439, 0.307412, 0.498501, 0.499768, 0.386136
,,,99, 1304.83, 957.841, 1024.64, 806.857, 962.522, 974.914, 873.072, 630.404, 628.101, 802.126,,99, 1, 1.36226, 1.27345, 1.61718, 1.35564, 1.3384, 1.49453, 2.06983, 2.07742, 1.62671,,99, 0, 0.265926, 0.214734, 0.381638, 0.262339, 0.252842, 0.330892, 0.516869, 0.518634, 0.385264
,,,100, 1308.54, 963.225, 1027.87, 810.855, 958.852, 957.564, 859.65, 631.219, 628.064, 796.326,,100, 1, 1.3585, 1.27306, 1.61378, 1.3647, 1.36653, 1.52218, 2.07304, 2.08345, 1.64323,,100, 0, 0.263895, 0.21449, 0.380338, 0.267238, 0.268221, 0.343048, 0.517617, 0.520028, 0.391441
,,,101, 1272.74, 966.095, 1026.6, 812.065, 962.856, 960.253, 856.105, 645.141, 629.646, 801.759,,101, 1, 1.31741, 1.23977, 1.56729, 1.32184, 1.32543, 1.48667, 1.97282, 2.02136, 1.58744,,101, 0, 0.240935, 0.193396, 0.361957, 0.24348, 0.245525, 0.327355, 0.49311, 0.505284, 0.370055
,,,102, 1278.9, 960.149, 1049.83, 832.129, 963.696, 961.752, 855.252, 645.788, 644.845, 799.31,,102, 1, 1.33199, 1.21821, 1.53691, 1.32708, 1.32977, 1.49535, 1.98038, 1.98328, 1.60001,,102, 0, 0.249241, 0.179121, 0.349343, 0.246468, 0.247988, 0.331262, 0.495046, 0.495784, 0.375005
,,,103, 1272.7, 969.206, 1054.12, 830.291, 965.282, 960.218, 858.058, 645.654, 645.177, 800.904,,103, 1, 1.31314, 1.20736, 1.53284, 1.31848, 1.32543, 1.48323, 1.97118, 1.97264, 1.58908,,103, 0, 0.238465, 0.171745, 0.347615, 0.241549, 0.245528, 0.325798, 0.49269, 0.493065, 0.370705
,,,104, 1297.55, 961.129, 1050.86, 833.203, 966.831, 973.554, 877.489, 665.659, 643.694, 806.031,,104, 1, 1.35003, 1.23476, 1.55731, 1.34207, 1.3328, 1.47871, 1.94928, 2.01579, 1.60981,,104, 0, 0.259277, 0.190125, 0.357867, 0.254882, 0.249701, 0.323736, 0.48699, 0.503918, 0.378807
,,,105, 1308.38, 966.278, 1054.39, 836.217, 963.434, 988.779, 879.929, 668.038, 665.292, 800.879,,105, 1, 1.35404, 1.24088, 1.56464, 1.35803, 1.32322, 1.48691, 1.95854, 1.96662, 1.63367,,105, 0, 0.261467, 0.194121, 0.360874, 0.263641, 0.244269, 0.327464, 0.489414, 0.491513, 0.387883
,,,106, 1316.1, 990.306, 1058.33, 838.678, 989.497, 977.153, 878.016, 669.245, 665.435, 804.91,,106, 1, 1.32899, 1.24356, 1.56926, 1.33007, 1.34687, 1.49895, 1.96655, 1.97781, 1.63509,,106, 0, 0.247546, 0.19586, 0.362757, 0.248161, 0.25754, 0.332866, 0.491495, 0.494389, 0.388414
,,,107, 1305.64, 993.189, 1052.91, 839.212, 991.716, 986.817, 894.976, 666.774, 669.296, 807.246,,107, 1, 1.3146, 1.24003, 1.5558, 1.31655, 1.32309, 1.45886, 1.95815, 1.95077, 1.61741,,107, 0, 0.239312, 0.19357, 0.357243, 0.24044, 0.244192, 0.314533, 0.489315, 0.487383, 0.381726
,,,108, 1304.06, 993.597, 1053.46, 837.117, 995.223, 985.091, 884.805, 671.604, 667.324, 802.308,,108, 1, 1.31246, 1.23789, 1.5578, 1.31032, 1.3238, 1.47384, 1.94171, 1.95417, 1.62539,,108, 0, 0.238075, 0.192172, 0.358069, 0.236828, 0.244597, 0.3215, 0.48499, 0.488273, 0.384762
,,,109, 1346.06, 986.647, 1075.49, 839.179, 994.822, 989.135, 881.833, 671.362, 670.344, 800.51,,109, 1, 1.36427, 1.25157, 1.60402, 1.35306, 1.36084, 1.52643, 2.00496, 2.00801, 1.6815,,109, 0, 0.26701, 0.201005, 0.376565, 0.260936, 0.265161, 0.344877, 0.501238, 0.501994, 0.405292
,,,110, 1349.25, 988.686, 1076.57, 836.241, 993.831, 990.275, 891.485, 671.637, 670.025, 809.453,,110, 1, 1.36469, 1.25328, 1.61347, 1.35763, 1.3625, 1.51349, 2.0089, 2.01373, 1.66687,,110, 0, 0.267233, 0.202095, 0.380218, 0.26342, 0.266055, 0.339274, 0.502214, 0.503409, 0.400072
,,,111, 1352.06, 995.99, 1076.96, 838.37, 997.179, 987.291, 883.545, 667.706, 669.187, 810.894,,111, 1, 1.3575, 1.25544, 1.61272, 1.35588, 1.36946, 1.53027, 2.02493, 2.02045, 1.66737,,111, 0, 0.263353, 0.203467, 0.379931, 0.262474, 0.269787, 0.346519, 0.506156, 0.505061, 0.400253
,,,112, 1362.99, 988.608, 1076.47, 836.55, 997.136, 1009.38, 883.09, 673.025, 667.399, 825.366,,112, 1, 1.3787, 1.26616, 1.6293, 1.36691, 1.35033, 1.54343, 2.02517, 2.04224, 1.65138,,112, 0, 0.274678, 0.210212, 0.386239, 0.26842, 0.25944, 0.352094, 0.506214, 0.510342, 0.394445
,,,113, 1357.31, 995.014, 1078.8, 861.28, 991.722, 1010.11, 903.556, 669.298, 667.416, 830.139,,113, 1, 1.36411, 1.25816, 1.57592, 1.36864, 1.34373, 1.50219, 2.02796, 2.03368, 1.63504,,113, 0, 0.266922, 0.205189, 0.365451, 0.269348, 0.255803, 0.334304, 0.506894, 0.508281, 0.388394
,,,114, 1361.7, 1016.54, 1077.41, 862.242, 1014.67, 1000.21, 906.237, 689.964, 667.682, 825.22,,114, 1, 1.33955, 1.26386, 1.57925, 1.34201, 1.36141, 1.50259, 1.97358, 2.03944, 1.6501,,114, 0, 0.253479, 0.208774, 0.366789, 0.254848, 0.265466, 0.33448, 0.493306, 0.509669, 0.393977
