name,ptest -- strcmp,ticks,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare,bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw,compare (%),bytes,local,local_gg,generic,i386,i486,i686,i686_1i,i686_1iu,i686_r2,1dw
,,,1587, 19542.2, 12071.8, 13371.3, 12356.8, 12046.9, 11987.5, 10787.7, 8816.53, 7985.02, 10438.2,,1587, 1, 1.61883, 1.4615, 1.58149, 1.62217, 1.63021, 1.81153, 2.21654, 2.44736, 1.87219,,1587, 0, 0.382269, 0.315773, 0.367685, 0.383543, 0.386583, 0.447982, 0.548847, 0.591396, 0.465866
,,,1620, 19821.3, 12422.1, 13417.7, 12397.6, 12463.9, 12337.6, 10701.8, 8869.36, 7992.68, 10432.2,,1620, 1, 1.59565, 1.47725, 1.5988, 1.5903, 1.60658, 1.85214, 2.23481, 2.47994, 1.90002,,1620, 0, 0.373297, 0.323069, 0.374531, 0.371187, 0.377561, 0.460084, 0.552535, 0.596764, 0.473689
,,,1653, 20282.1, 12538, 13510.9, 12541.3, 12447.9, 12489.2, 11087.1, 8915.77, 8113.98, 10429.3,,1653, 1, 1.61765, 1.50116, 1.61722, 1.62936, 1.62396, 1.82934, 2.27485, 2.49964, 1.94472,,1653, 0, 0.38182, 0.333848, 0.381655, 0.386262, 0.384222, 0.453356, 0.560411, 0.599943, 0.485787
,,,1686, 20213.3, 12564.9, 13829.3, 12464.2, 12493.4, 12553.6, 10946.2, 9031.86, 8219.82, 10529.5,,1686, 1, 1.60871, 1.46162, 1.62171, 1.61792, 1.61016, 1.8466, 2.238, 2.45909, 1.91969,,1686, 0, 0.378384, 0.31583, 0.383369, 0.381921, 0.378945, 0.458464, 0.553172, 0.593346, 0.479082
,,,1719, 20154.5, 12757.4, 13886.5, 12806.4, 12814.5, 12486.7, 11367.4, 9343.8, 8209.13, 10815.5,,1719, 1, 1.57982, 1.45138, 1.57378, 1.57279, 1.61407, 1.773, 2.15699, 2.45513, 1.86348,,1719, 0, 0.367017, 0.310999, 0.364585, 0.364187, 0.38045, 0.435984, 0.536391, 0.592689, 0.463371
,,,1752, 20673.2, 12855.9, 13993.1, 12912.7, 12990.3, 12890.5, 11317.5, 9182.32, 8480.3, 10923.5,,1752, 1, 1.60807, 1.47738, 1.601, 1.59144, 1.60375, 1.82666, 2.25141, 2.43779, 1.89254,,1752, 0, 0.378138, 0.323127, 0.375391, 0.371637, 0.376462, 0.452554, 0.555835, 0.589793, 0.47161
,,,1785, 21404.8, 12878.1, 14239.2, 12909.1, 12990, 12943.1, 11347, 9496.13, 8448.01, 11053.2,,1785, 1, 1.66212, 1.50323, 1.65812, 1.6478, 1.65376, 1.88638, 2.25406, 2.53371, 1.93654,,1785, 0, 0.398358, 0.334768, 0.396907, 0.393129, 0.395317, 0.469884, 0.556356, 0.605322, 0.483614
,,,1818, 21104, 12977, 14354.5, 12951.6, 12916.5, 12936.4, 11679.7, 9502.4, 8334.48, 11162.7,,1818, 1, 1.62626, 1.4702, 1.62945, 1.63388, 1.63137, 1.8069, 2.22091, 2.53213, 1.89058,,1818, 0, 0.385093, 0.319823, 0.386295, 0.387959, 0.387018, 0.446565, 0.549734, 0.605076, 0.471063
,,,1851, 20970.6, 13277.7, 14280.4, 13314.1, 13267.5, 12963, 11849.1, 9386.14, 8622.59, 11119.3,,1851, 1, 1.57939, 1.46849, 1.57507, 1.5806, 1.61773, 1.7698, 2.23421, 2.43206, 1.88596,,1851, 0, 0.366844, 0.319027, 0.365107, 0.367329, 0.38185, 0.434966, 0.552415, 0.588825, 0.469767
,,,1884, 21740.5, 13363.3, 14367.7, 13347.2, 13267, 13222.7, 11930, 9663.46, 8536.24, 11060.8,,1884, 1, 1.62689, 1.51315, 1.62884, 1.63868, 1.64418, 1.82233, 2.24976, 2.54684, 1.96554,,1884, 0, 0.385329, 0.339126, 0.386065, 0.389754, 0.391794, 0.451252, 0.555508, 0.607357, 0.491234
,,,1917, 21623.3, 13294.6, 14312.6, 13362.9, 13286.5, 13292.7, 11911, 9632.73, 8563.94, 11676.2,,1917, 1, 1.62647, 1.51079, 1.61816, 1.62747, 1.6267, 1.81541, 2.24477, 2.52492, 1.85192,,1917, 0, 0.385171, 0.338095, 0.382015, 0.385549, 0.385259, 0.449161, 0.554521, 0.603949, 0.460019
,,,1950, 21127.3, 13289, 14515.2, 13289.6, 13352.4, 13274.1, 11927.4, 9654.32, 8762.76, 11664.7,,1950, 1, 1.58983, 1.45553, 1.58976, 1.58229, 1.59161, 1.77132, 2.18838, 2.41103, 1.81121,,1950, 0, 0.371002, 0.312967, 0.370974, 0.368003, 0.371707, 0.43545, 0.54304, 0.58524, 0.447883
,,,1983, 22238.3, 13260.6, 14687.8, 13348.6, 13251.6, 13276.6, 11874.1, 9722.41, 8636.01, 11753.2,,1983, 1, 1.67702, 1.51407, 1.66596, 1.67816, 1.675, 1.87284, 2.28733, 2.57507, 1.8921,,1983, 0, 0.403704, 0.339527, 0.399747, 0.404109, 0.402985, 0.466051, 0.562809, 0.611661, 0.471488
,,,2016, 22186.4, 13255.4, 14490.3, 13182.7, 13600.1, 13198.1, 11893.4, 9851.41, 8763.21, 11633,,2016, 1, 1.67376, 1.53112, 1.68299, 1.63134, 1.68102, 1.86544, 2.2521, 2.53176, 1.9072,,2016, 0, 0.402544, 0.346881, 0.40582, 0.387008, 0.405125, 0.463933, 0.55597, 0.605018, 0.475671
,,,2049, 22121.2, 13560.3, 14434.9, 13644.9, 13259.3, 13235.8, 11939.5, 9783, 8733.31, 11750.6,,2049, 1, 1.63132, 1.53248, 1.62121, 1.66835, 1.67132, 1.85277, 2.26119, 2.53297, 1.88255,,2049, 0, 0.387, 0.347463, 0.383177, 0.400606, 0.401671, 0.460268, 0.557754, 0.605206, 0.468807

