Memcpy test:
start	1024
end	16384
incr	1024
ntry	20000
STATS	start	bytes=1024	func=memcpy
STATS	 40960	 43007	     1	 42189.0
STATS	mode	0	5235	  6048.0
STATS	mode	1	3753	  6334.0
STATS	mode	2	2583	  6453.0
STATS	mode_avg	  6231.2
STATS	summary	libc586	3072	     2.0
STATS	start	bytes=3072	func=lx64
STATS	  3968	  4095	   781	  4084.0
STATS	  4096	  4351	  2593	  4262.0
STATS	  4352	  4607	  1326	  4454.0
STATS	  4608	  4863	  2230	  4755.0
STATS	  4864	  5119	  4657	  4991.0
STATS	  5120	  5375	  2962	  5222.0
STATS	  5376	  5631	  1221	  5498.0
STATS	  5632	  5887	  1273	  5769.0
STATS	  5888	  6143	  2042	  6030.0
STATS	  6144	  6399	   700	  6221.0
STATS	  6400	  6655	     7	  6495.0
STATS	  6656	  6911	     1	  6716.0
STATS	  6912	  7167	     5	  6969.0
STATS	  7168	  7423	     1	  7331.0
STATS	  7424	  7679	     2	  7505.0
STATS	  7680	  7935	     2	  7804.0
STATS	  8704	  9215	     1	  8741.0
STATS	 12288	 12799	    12	 12581.0
STATS	 12800	 13311	    32	 13084.0
STATS	 13312	 13823	    57	 13594.0
STATS	 13824	 14335	    37	 14072.0
STATS	 14336	 14847	    38	 14572.0
STATS	 14848	 15359	    13	 15015.0
STATS	 15360	 15871	     4	 15551.0
STATS	 15872	 16383	     2	 16134.0
STATS	 25600	 26623	     1	 25837.0
STATS	mode	0	4657	  4991.0
STATS	mode	1	2962	  5222.0
STATS	mode	2	2593	  4262.0
STATS	mode_avg	  4872.9
STATS	summary	lx64	3072	     1.6
STATS	start	bytes=3072	func=lx64si0
STATS	  3840	  3967	   514	  3959.0
STATS	  3968	  4095	  1530	  4029.0
STATS	  4096	  4351	  3499	  4202.0
STATS	  4352	  4607	  2121	  4463.0
STATS	  4608	  4863	  3886	  4760.0
STATS	  4864	  5119	  4359	  4973.0
STATS	  5120	  5375	  2706	  5255.0
STATS	  5376	  5631	  1004	  5472.0
STATS	  5632	  5887	   170	  5705.0
STATS	  5888	  6143	     5	  6034.0
STATS	  6144	  6399	     3	  6293.0
STATS	  6400	  6655	     3	  6536.0
STATS	  6912	  7167	     4	  7029.0
STATS	  7168	  7423	     1	  7229.0
STATS	  7424	  7679	     1	  7461.0
STATS	  7680	  7935	     1	  7930.0
STATS	 11776	 12287	     1	 12128.0
STATS	 12288	 12799	    15	 12588.0
STATS	 12800	 13311	    39	 13055.0
STATS	 13312	 13823	    81	 13554.0
STATS	 13824	 14335	    43	 14040.0
STATS	 14336	 14847	     9	 14554.0
STATS	 14848	 15359	     2	 15137.0
STATS	 15360	 15871	     2	 15847.0
STATS	 27648	 28671	     1	 27704.0
STATS	mode	0	4359	  4973.0
STATS	mode	1	3886	  4760.0
STATS	mode	2	3499	  4202.0
STATS	mode_avg	  4672.8
STATS	summary	lx64si0	3072	     1.5
STATS	start	bytes=3072	func=lx128
STATS	  3968	  4095	    14	  4088.0
STATS	  4096	  4351	  2142	  4279.0
