Memcpy test:
start	1024
end	16384
incr	1024
ntry	20000
STATS	start	bytes=1024	func=memcpy
STATS	mode	1	5283	  7910.0
STATS	mode	2	3881	  8294.0
STATS	mode_avg	  8050.7
STATS	summary	libc586	4096	     2.0
STATS	start	bytes=4096	func=lx64
STATS	  5376	  5631	  2877	  5598.0
STATS	  5632	  5887	  7450	  5723.0
STATS	  5888	  6143	  1638	  5992.0
STATS	  6144	  6399	  3000	  6256.0
STATS	  6400	  6655	   643	  6493.0
STATS	  6656	  6911	   152	  6752.0
STATS	  6912	  7167	  2100	  7090.0
STATS	  7168	  7423	  1067	  7249.0
STATS	  7424	  7679	   348	  7605.0
STATS	  7680	  7935	   368	  7777.0
STATS	  7936	  8191	    43	  8039.0
STATS	  8192	  8703	     3	  8253.0
STATS	 13824	 14335	    93	 14239.0
STATS	 14336	 14847	   105	 14519.0
STATS	 14848	 15359	    33	 15009.0
STATS	 15360	 15871	    55	 15679.0
STATS	 15872	 16383	    15	 16189.0
STATS	 16384	 17407	     6	 16737.0
STATS	 17408	 18431	     2	 18114.0
STATS	 18432	 19455	     1	 19015.0
STATS	 65536	 69631	     1	 65873.0
STATS	mode	0	7450	  5723.0
STATS	mode	1	3000	  6256.0
STATS	mode	2	2877	  5598.0
STATS	mode_avg	  5816.0
STATS	summary	lx64	4096	     1.4
STATS	start	bytes=4096	func=lx64si0
STATS	  4608	  4863	    18	  4856.0
STATS	  4864	  5119	 10288	  4962.0
STATS	  5120	  5375	  1937	  5238.0
STATS	  5376	  5631	  3131	  5452.0
STATS	  5632	  5887	   377	  5742.0
STATS	  5888	  6143	  2812	  5986.0
STATS	  6144	  6399	   480	  6258.0
STATS	  6400	  6655	   542	  6480.0
STATS	  6656	  6911	   106	  6765.0
STATS	  6912	  7167	    31	  7012.0
STATS	  7168	  7423	     6	  7296.0
STATS	  7424	  7679	     1	  7584.0
STATS	 13312	 13823	   137	 13636.0
STATS	 13824	 14335	    52	 14056.0
STATS	 14336	 14847	    45	 14625.0
STATS	 14848	 15359	    24	 15075.0
STATS	 15360	 15871	     6	 15578.0
STATS	 15872	 16383	     2	 16216.0
STATS	 16384	 17407	     1	 16750.0
STATS	 17408	 18431	     1	 17695.0
